StateCode,Division,YearMonth,TAVG,TMIN,TMAX,PCP,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24
41,0,189501,44.60,31.20,57.90,1.30,0.32,0.32,0.97,0.32,10.00,574.00,-0.13,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
41,0,189502,38.50,26.70,50.20,1.90,0.95,0.95,1.99,0.95,0.00,686.00,0.48,0.18,-99.99,-99.99,-99.99,-99.99,-99.99
41,0,189503,56.40,43.10,69.70,0.88,0.56,0.56,-0.88,0.56,42.00,245.00,-0.99,-0.35,-0.36,-99.99,-99.99,-99.99,-99.99
41,0,189504,64.80,50.00,79.60,1.38,0.26,0.26,-0.73,-0.51,108.00,55.00,-0.76,-1.18,-0.67,-99.99,-99.99,-99.99,-99.99
41,0,189505,69.70,57.80,81.60,4.96,1.20,1.20,2.89,1.20,211.00,10.00,1.19,0.47,0.08,-99.99,-99.99,-99.99,-99.99
41,0,189506,78.00,66.50,89.40,3.95,1.95,1.95,2.62,1.95,424.00,0.00,0.85,1.30,0.76,0.39,-99.99,-99.99,-99.99
41,0,189507,80.30,69.20,91.30,3.37,3.03,3.03,3.85,3.03,531.00,0.00,0.92,1.11,1.52,0.69,-99.99,-99.99,-99.99
41,0,189508,81.40,68.50,94.40,3.04,3.64,3.64,2.75,3.64,559.00,0.00,0.75,1.06,1.28,0.81,-99.99,-99.99,-99.99
41,0,189509,77.10,64.40,89.80,0.82,2.29,2.29,-2.92,1.08,447.00,1.00,-1.78,-0.71,-0.18,0.41,0.19,-99.99,-99.99
41,0,189510,61.70,47.90,75.40,2.41,2.21,2.21,0.49,1.18,70.00,112.00,0.09,-1.07,-0.56,0.60,0.19,-99.99,-99.99
41,0,189511,50.00,37.70,62.40,2.50,2.55,2.55,1.69,2.11,9.00,374.00,0.70,0.37,-0.58,0.33,0.27,-99.99,-99.99
